date_updated,state,start_date,end_date,tot_cases,new_cases,tot_deaths,new_deaths,new_historic_cases,new_historic_deaths,state_full
02/23/2023,AZ,2023-02-16,2023-02-22,2434631.0,3716.0,33042.0,39.0,23150.0,0.0,arizona
12/22/2022,LA,2022-12-15,2022-12-21,1507707.0,4041.0,18345.0,21.0,21397.0,0.0,louisiana
02/23/2023,GA,2023-02-16,2023-02-22,3061141.0,5298.0,42324.0,88.0,6800.0,0.0,georgia
03/30/2023,LA,2023-03-23,2023-03-29,1588259.0,2203.0,18858.0,23.0,5347.0,0.0,louisiana
02/02/2023,LA,2023-01-26,2023-02-01,1548508.0,5725.0,18572.0,47.0,4507.0,0.0,louisiana
03/23/2023,LA,2023-03-16,2023-03-22,1580709.0,1961.0,18835.0,35.0,2239.0,0.0,louisiana
04/27/2023,LA,2023-04-20,2023-04-26,1597070.0,1884.0,18937.0,25.0,949.0,0.0,louisiana
03/16/2023,NV,2023-03-09,2023-03-15,891702.0,1233.0,11937.0,15.0,347.0,0.0,nevada
05/11/2023,FL,2023-05-04,2023-05-10,7572282.0,6937.0,88248.0,0.0,0.0,1109.0,florida
10/27/2022,NYC,2022-10-20,2022-10-26,2928439.0,14590.0,42863.0,91.0,0.0,557.0,
09/29/2022,KS,2022-09-22,2022-09-28,878474.0,2593.0,9554.0,-3.0,0.0,469.0,kansas
02/09/2023,VA,2023-02-02,2023-02-08,2268016.0,8270.0,23452.0,25.0,0.0,299.0,virginia
12/08/2022,OK,2022-12-01,2022-12-07,1225630.0,5242.0,15319.0,0.0,0.0,273.0,oklahoma
02/16/2023,VA,2023-02-09,2023-02-15,2275330.0,7314.0,23587.0,73.0,0.0,62.0,virginia
04/27/2023,IL,2023-04-20,2023-04-26,4131816.0,4192.0,41970.0,60.0,0.0,44.0,illinois
11/03/2022,DC,2022-10-27,2022-11-02,170041.0,332.0,1397.0,0.0,0.0,5.0,
11/10/2022,DC,2022-11-03,2022-11-09,170482.0,441.0,1402.0,0.0,0.0,5.0,
11/03/2022,KS,2022-10-27,2022-11-02,889485.0,2385.0,9622.0,13.0,0.0,1.0,kansas
05/28/2020,AK,2020-05-21,2020-05-27,427.0,23.0,10.0,0.0,0.0,0.0,alaska
06/04/2020,AK,2020-05-28,2020-06-03,518.0,91.0,10.0,0.0,0.0,0.0,alaska
06/11/2020,AK,2020-06-04,2020-06-10,616.0,98.0,11.0,1.0,0.0,0.0,alaska
06/18/2020,AK,2020-06-11,2020-06-17,713.0,97.0,12.0,1.0,0.0,0.0,alaska
06/25/2020,AK,2020-06-18,2020-06-24,821.0,108.0,12.0,0.0,0.0,0.0,alaska
07/02/2020,AK,2020-06-25,2020-07-01,1020.0,199.0,13.0,1.0,0.0,0.0,alaska
07/09/2020,AK,2020-07-02,2020-07-08,1273.0,253.0,16.0,3.0,0.0,0.0,alaska
07/16/2020,AK,2020-07-09,2020-07-15,1694.0,421.0,16.0,0.0,0.0,0.0,alaska
07/23/2020,AK,2020-07-16,2020-07-22,2202.0,508.0,18.0,2.0,0.0,0.0,alaska
07/30/2020,AK,2020-07-23,2020-07-29,2886.0,684.0,21.0,3.0,0.0,0.0,alaska
08/06/2020,AK,2020-07-30,2020-08-05,3487.0,601.0,25.0,4.0,0.0,0.0,alaska
08/13/2020,AK,2020-08-06,2020-08-12,3978.0,491.0,27.0,2.0,0.0,0.0,alaska
08/20/2020,AK,2020-08-13,2020-08-19,4536.0,558.0,29.0,2.0,0.0,0.0,alaska
08/27/2020,AK,2020-08-20,2020-08-26,5001.0,465.0,36.0,7.0,0.0,0.0,alaska
09/03/2020,AK,2020-08-27,2020-09-02,5475.0,474.0,38.0,2.0,0.0,0.0,alaska
09/10/2020,AK,2020-09-03,2020-09-09,6022.0,547.0,41.0,3.0,0.0,0.0,alaska
09/17/2020,AK,2020-09-10,2020-09-16,6551.0,529.0,43.0,2.0,0.0,0.0,alaska
