Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Time Period Start Date,Time Period End Date,Value,Low CI,High CI,Confidence Interval,Quartile Range,covid_cases,covid_deaths
Symptoms of Depressive Disorder,National Estimate,united states,United States,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,23.5,22.7,24.3,22.7 - 24.3,,0.0,0.0
Symptoms of Depressive Disorder,By Age,united states,18 - 29 years,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,32.7,30.2,35.2,30.2 - 35.2,,0.0,0.0
Symptoms of Depressive Disorder,By Age,united states,30 - 39 years,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,25.7,24.1,27.3,24.1 - 27.3,,0.0,0.0
Symptoms of Depressive Disorder,By Age,united states,40 - 49 years,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,24.8,23.3,26.2,23.3 - 26.2,,0.0,0.0
Symptoms of Depressive Disorder,By Age,united states,50 - 59 years,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,23.2,21.5,25.0,21.5 - 25.0,,0.0,0.0
Symptoms of Depressive Disorder,By Age,united states,60 - 69 years,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,18.4,17.0,19.7,17.0 - 19.7,,0.0,0.0
Symptoms of Depressive Disorder,By Age,united states,70 - 79 years,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,13.6,11.8,15.5,11.8 - 15.5,,0.0,0.0
Symptoms of Depressive Disorder,By Age,united states,80 years and above,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,14.4,9.0,21.4,9.0 - 21.4,,0.0,0.0
Symptoms of Depressive Disorder,By Sex,united states,Male,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,20.8,19.6,22.0,19.6 - 22.0,,0.0,0.0
Symptoms of Depressive Disorder,By Sex,united states,Female,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,26.1,25.2,27.1,25.2 - 27.1,,0.0,0.0
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,united states,Hispanic or Latino,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,29.4,26.8,32.1,26.8 - 32.1,,0.0,0.0
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,united states,"Non-Hispanic White, single race",1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,21.4,20.6,22.1,20.6 - 22.1,,0.0,0.0
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,united states,"Non-Hispanic Black, single race",1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,25.6,23.7,27.5,23.7 - 27.5,,0.0,0.0
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,united states,"Non-Hispanic Asian, single race",1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,23.6,20.3,27.1,20.3 - 27.1,,0.0,0.0
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,united states,"Non-Hispanic, other races and multiple races",1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,28.3,24.8,32.0,24.8 - 32.0,,0.0,0.0
Symptoms of Depressive Disorder,By Education,united states,Less than a high school diploma,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,32.7,27.8,38.0,27.8 - 38.0,,0.0,0.0
Symptoms of Depressive Disorder,By Education,united states,High school diploma or GED,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,25.4,23.9,26.9,23.9 - 26.9,,0.0,0.0
Symptoms of Depressive Disorder,By Education,united states,Some college/Associate's degree,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,25.6,24.4,26.9,24.4 - 26.9,,0.0,0.0
Symptoms of Depressive Disorder,By Education,united states,Bachelor's degree or higher,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,17.6,16.8,18.4,16.8 - 18.4,,0.0,0.0
Symptoms of Depressive Disorder,By State,alabama,Alabama,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,18.6,14.6,23.1,14.6 - 23.1,16.5 - 20.7,1287.0,62.0
Symptoms of Depressive Disorder,By State,alaska,Alaska,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,19.2,16.8,21.8,16.8 - 21.8,16.5 - 20.7,18.0,0.0
Symptoms of Depressive Disorder,By State,arizona,Arizona,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,22.4,19.4,25.5,19.4 - 25.5,22.2 - 24.0,1736.0,77.0
Symptoms of Depressive Disorder,By State,arkansas,Arkansas,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,26.6,22.3,31.3,22.3 - 31.3,24.1 - 28.7,699.0,17.0
Symptoms of Depressive Disorder,By State,california,California,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,25.4,22.5,28.6,22.5 - 28.6,24.1 - 28.7,11112.0,516.0
Symptoms of Depressive Disorder,By State,colorado,Colorado,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,22.0,19.4,24.9,19.4 - 24.9,20.8 - 22.1,4394.0,231.0
Symptoms of Depressive Disorder,By State,connecticut,Connecticut,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,24.4,20.1,29.1,20.1 - 29.1,24.1 - 28.7,5282.0,629.0
Symptoms of Depressive Disorder,By State,delaware,Delaware,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,21.1,17.6,24.9,17.6 - 24.9,20.8 - 22.1,1418.0,88.0
Symptoms of Depressive Disorder,By State,district of columbia,District of Columbia,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,26.4,22.1,31.1,22.1 - 31.1,24.1 - 28.7,0.0,0.0
Symptoms of Depressive Disorder,By State,florida,Florida,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,22.5,19.7,25.4,19.7 - 25.4,22.2 - 24.0,6048.0,325.0
Symptoms of Depressive Disorder,By State,georgia,Georgia,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,25.6,21.4,30.2,21.4 - 30.2,24.1 - 28.7,4558.0,251.0
Symptoms of Depressive Disorder,By State,hawaii,Hawaii,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,20.0,14.9,26.1,14.9 - 26.1,16.5 - 20.7,32.0,1.0
Symptoms of Depressive Disorder,By State,idaho,Idaho,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,20.6,17.3,24.1,17.3 - 24.1,16.5 - 20.7,187.0,9.0
Symptoms of Depressive Disorder,By State,illinois,Illinois,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,23.3,19.6,27.2,19.6 - 27.2,22.2 - 24.0,15243.0,649.0
Symptoms of Depressive Disorder,By State,indiana,Indiana,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,26.4,22.1,31.0,22.1 - 31.0,24.1 - 28.7,4727.0,278.0
Symptoms of Depressive Disorder,By State,iowa,Iowa,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,16.5,13.7,19.6,13.7 - 19.6,16.5 - 20.7,3097.0,58.0
Symptoms of Depressive Disorder,By State,kansas,Kansas,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,22.1,18.3,26.4,18.3 - 26.4,20.8 - 22.1,1464.0,23.0
Symptoms of Depressive Disorder,By State,kentucky,Kentucky,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,23.2,19.4,27.4,19.4 - 27.4,22.2 - 24.0,1149.0,49.0
Symptoms of Depressive Disorder,By State,louisiana,Louisiana,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,28.1,24.1,32.4,24.1 - 32.4,24.1 - 28.7,2407.0,366.0
Symptoms of Depressive Disorder,By State,maine,Maine,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,19.5,16.0,23.5,16.0 - 23.5,16.5 - 20.7,148.0,13.0
Symptoms of Depressive Disorder,By State,maryland,Maryland,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,20.9,17.9,24.1,17.9 - 24.1,20.8 - 22.1,6075.0,378.0
Symptoms of Depressive Disorder,By State,massachusetts,Massachusetts,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,25.9,22.7,29.4,22.7 - 29.4,24.1 - 28.7,13468.0,1224.0
Symptoms of Depressive Disorder,By State,michigan,Michigan,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,25.5,22.0,29.4,22.0 - 29.4,24.1 - 28.7,6968.0,882.0
Symptoms of Depressive Disorder,By State,minnesota,Minnesota,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,20.4,17.7,23.4,17.7 - 23.4,16.5 - 20.7,1922.0,187.0
Symptoms of Depressive Disorder,By State,mississippi,Mississippi,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,22.9,18.7,27.6,18.7 - 27.6,22.2 - 24.0,1667.0,58.0
Symptoms of Depressive Disorder,By State,missouri,Missouri,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,21.0,17.9,24.5,17.9 - 24.5,20.8 - 22.1,1359.0,138.0
Symptoms of Depressive Disorder,By State,montana,Montana,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,18.2,14.9,21.8,14.9 - 21.8,16.5 - 20.7,12.0,2.0
Symptoms of Depressive Disorder,By State,nebraska,Nebraska,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,19.1,15.3,23.3,15.3 - 23.3,16.5 - 20.7,2089.0,45.0
Symptoms of Depressive Disorder,By State,nevada,Nevada,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,23.6,19.1,28.7,19.1 - 28.7,22.2 - 24.0,853.0,59.0
Symptoms of Depressive Disorder,By State,new hampshire,New Hampshire,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,19.5,16.5,22.7,16.5 - 22.7,16.5 - 20.7,470.0,12.0
Symptoms of Depressive Disorder,By State,new jersey,New Jersey,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,23.6,20.4,27.0,20.4 - 27.0,22.2 - 24.0,20451.0,1847.0
Symptoms of Depressive Disorder,By State,new mexico,New Mexico,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,22.4,18.3,26.9,18.3 - 26.9,22.2 - 24.0,1003.0,41.0
Symptoms of Depressive Disorder,By State,new york,New York,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,28.7,24.6,33.1,24.6 - 33.1,24.1 - 28.7,19454.0,1350.0
Symptoms of Depressive Disorder,By State,north carolina,North Carolina,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,21.1,17.1,25.6,17.1 - 25.6,20.8 - 22.1,2979.0,127.0
Symptoms of Depressive Disorder,By State,north dakota,North Dakota,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,17.0,13.7,20.7,13.7 - 20.7,16.5 - 20.7,354.0,8.0
Symptoms of Depressive Disorder,By State,ohio,Ohio,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,21.2,18.2,24.5,18.2 - 24.5,20.8 - 22.1,3183.0,311.0
Symptoms of Depressive Disorder,By State,oklahoma,Oklahoma,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,20.8,16.4,25.7,16.4 - 25.7,20.8 - 22.1,580.0,44.0
Symptoms of Depressive Disorder,By State,oregon,Oregon,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,22.5,19.7,25.4,19.7 - 25.4,22.2 - 24.0,387.0,23.0
Symptoms of Depressive Disorder,By State,pennsylvania,Pennsylvania,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,24.7,21.6,28.1,21.6 - 28.1,24.1 - 28.7,9949.0,840.0
