"date_updated","state","start_date","end_date","tot_cases","new_cases","tot_deaths","new_deaths","new_historic_cases","new_historic_deaths"
"02/23/2023","AZ","02/16/2023","02/22/2023","2,434,631","3,716","33,042","39","23,150","0"
"12/22/2022","LA","12/15/2022","12/21/2022","1,507,707","4,041","18,345","21","21,397","0"
"02/23/2023","GA","02/16/2023","02/22/2023","3,061,141","5,298","42,324","88","6,800","0"
"03/30/2023","LA","03/23/2023","03/29/2023","1,588,259","2,203","18,858","23","5,347","0"
"02/02/2023","LA","01/26/2023","02/01/2023","1,548,508","5,725","18,572","47","4,507","0"
"03/23/2023","LA","03/16/2023","03/22/2023","1,580,709","1,961","18,835","35","2,239","0"
"04/27/2023","LA","04/20/2023","04/26/2023","1,597,070","1,884","18,937","25","949","0"
"03/16/2023","NV","03/09/2023","03/15/2023","891,702","1,233","11,937","15","347","0"
"05/11/2023","FL","05/04/2023","05/10/2023","7,572,282","6,937","88,248","0","0","1,109"
"10/27/2022","NYC","10/20/2022","10/26/2022","2,928,439","14,590","42,863","91","0","557"
"09/29/2022","KS","09/22/2022","09/28/2022","878,474","2,593","9,554","-3","0","469"
"02/09/2023","VA","02/02/2023","02/08/2023","2,268,016","8,270","23,452","25","0","299"
"12/08/2022","OK","12/01/2022","12/07/2022","1,225,630","5,242","15,319","0","0","273"
"02/16/2023","VA","02/09/2023","02/15/2023","2,275,330","7,314","23,587","73","0","62"
"04/27/2023","IL","04/20/2023","04/26/2023","4,131,816","4,192","41,970","60","0","44"
"11/03/2022","DC","10/27/2022","11/02/2022","170,041","332","1,397","0","0","5"
"11/10/2022","DC","11/03/2022","11/09/2022","170,482","441","1,402","0","0","5"
"11/03/2022","KS","10/27/2022","11/02/2022","889,485","2,385","9,622","13","0","1"
"05/28/2020","AK","05/21/2020","05/27/2020","427","23","10","0","0","0"
"06/04/2020","AK","05/28/2020","06/03/2020","518","91","10","0","0","0"
"06/11/2020","AK","06/04/2020","06/10/2020","616","98","11","1","0","0"
"06/18/2020","AK","06/11/2020","06/17/2020","713","97","12","1","0","0"
"06/25/2020","AK","06/18/2020","06/24/2020","821","108","12","0","0","0"
"07/02/2020","AK","06/25/2020","07/01/2020","1,020","199","13","1","0","0"
"07/09/2020","AK","07/02/2020","07/08/2020","1,273","253","16","3","0","0"
"07/16/2020","AK","07/09/2020","07/15/2020","1,694","421","16","0","0","0"
"07/23/2020","AK","07/16/2020","07/22/2020","2,202","508","18","2","0","0"
"07/30/2020","AK","07/23/2020","07/29/2020","2,886","684","21","3","0","0"
"08/06/2020","AK","07/30/2020","08/05/2020","3,487","601","25","4","0","0"
"08/13/2020","AK","08/06/2020","08/12/2020","3,978","491","27","2","0","0"
"08/20/2020","AK","08/13/2020","08/19/2020","4,536","558","29","2","0","0"
"08/27/2020","AK","08/20/2020","08/26/2020","5,001","465","36","7","0","0"
"09/03/2020","AK","08/27/2020","09/02/2020","5,475","474","38","2","0","0"
"09/10/2020","AK","09/03/2020","09/09/2020","6,022","547","41","3","0","0"
"09/17/2020","AK","09/10/2020","09/16/2020","6,551","529","43","2","0","0"
"09/24/2020","AK","09/17/2020","09/23/2020","7,193","642","44","1","0","0"
"10/01/2020","AK","09/24/2020","09/30/2020","8,026","833","55","11","0","0"
"10/08/2020","AK","10/01/2020","10/07/2020","9,046","1,020","59","4","0","0"
"10/15/2020","AK","10/08/2020","10/14/2020","10,387","1,341","64","5","0","0"
"10/22/2020","AK","10/15/2020","10/21/2020","11,925","1,538","68","4","0","0"
"10/29/2020","AK","10/22/2020","10/28/2020","14,539","2,614","71","3","0","0"
"11/05/2020","AK","10/29/2020","11/04/2020","17,266","2,727","86","15","0","0"
"11/12/2020","AK","11/05/2020","11/11/2020","20,864","3,598","98","12","0","0"
"11/19/2020","AK","11/12/2020","11/18/2020","25,180","4,316","102","4","0","0"
"11/26/2020","AK","11/19/2020","11/25/2020","29,292","4,112","118","16","0","0"
"12/03/2020","AK","11/26/2020","12/02/2020","33,816","4,524","123","5","0","0"
"12/10/2020","AK","12/03/2020","12/09/2020","38,438","4,622","150","27","0","0"
"12/17/2020","AK","12/10/2020","12/16/2020","41,855","3,417","180","30","0","0"
"12/24/2020","AK","12/17/2020","12/23/2020","44,078","2,223","196","16","0","0"
